Nombre;Frecuencia
MARIA CANDELARIA;9155 
AICHA;9121 
MARIA GRACIA;9087 
MARIA ASCENSION;9064 
NAIMA;9007 
AGUEDA;9002 
MARA;8841 
MARIAM;8811 
ANGELA MARIA;8693 
CONSOLACION;8665 
ZAIRA;8637 
SAMIRA;8585 
NAZARET;8523 
MARIA DOLORS;8509 
MARIA PURIFICACION;8502 
ANABEL;8488 
ADELINA;8392 
JENIFER;8380 
ANNA MARIA;8357 
YASMINA;8318 
MARIA SAGRARIO;8207 
ELENA MARIA;8185 
EDURNE;8165 
MARIA CARME;8139 
CARME;8094 
FELICIDAD;8090 
AZUCENA;8010 
NAIA;7992 
ELOISA;7969 
ESTIBALIZ;7947 
MARIA AURORA;7936 
NAHIA;7905 
ADELAIDA;7888 
ONA;7888 
CANDELARIA;7887 
TEODORA;7871 
MARIA AUXILIADORA;7829 
LUISA MARIA;7755 
TOMASA;7710 
MARIA BLANCA;7697 
HORTENSIA;7678 
YANIRA;7656 
LIA;7636 
MARIA PALOMA;7575 
ROSA ANA;7571 
MARIONA;7570 
BENITA;7569 
MARIA PINO;7517 
MONSERRAT;7516 
MARTA MARIA;7471 
MICAELA;7457 
INMACULADA CONCEPCION;7428 
AMINA;7378 
FILOMENA;7349 
MARIA LUCIA;7342 
FABIOLA;7308 
MARIA GUADALUPE;7294 
AZAHARA;7255 
FERNANDA;7225 
JESICA;7220 
CORAL;7217 
AINOA;7212 
DELIA;7209 
MARIA ALEJANDRA;7201 
LAURA MARIA;7197 
MARIA GEMA;7151 
CAYETANA;7114 
MARIA VALLE;7112 
MARISOL;7048 
ARANTXA;7042 
MALAK;7019 
FLORA;6988 
INGRID;6947 
REGINA;6922 
MIREYA;6899 
LUZ MARIA;6825 
MARIA SONIA;6808 
FUENSANTA;6791 
MARIA ESTRELLA;6791 
MARCELINA;6773 
MARIA DESAMPARADOS;6760 
FATIHA;6738 
LINA;6731 
ANGELICA;6714 
MALIKA;6696 
MARIA SOCORRO;6675 
INES MARIA;6646 
MARIA ELISA;6564 
NAGORE;6563 
PAULINA;6526 
VISITACION;6511 
JUNE;6498 
LILIANA;6481 
YASMIN;6449 
MARIA OLGA;6396 
GALA;6386 
IDOIA;6295 
IRATXE;6232 
MAIDER;6232 
FLORENCIA;6192 
ANAIS;6125 
MARIA ANGELS;6106 
MARIA BEATRIZ;6025 
MARIA VICENTA;6015 
ROSANA;6015 
VIRTUDES;6000 
CARMEN ROSA;5999 
MAIALEN;5998 
MARIA CINTA;5955 
RACHIDA;5948 
MARIA ANGELA;5946 
ANTIA;5932 
ISABELLA;5931 
AVELINA;5921 
KARIMA;5918 
SALVADORA;5900 
DEBORA;5892 
CAMILA;5888 
IZASKUN;5872 
MARIA NATIVIDAD;5867 
DELFINA;5865 
ANGELINA;5842 
GENOVEVA;5834 
UXUE;5822 
MARIA FATIMA;5821 
SABINA;5775 
LAILA;5758 
NAROA;5729 
MARIA ARACELI;5688 
GEORGINA;5663 
NICOLE;5622 
SEBASTIANA;5595 
HANANE;5593 
MARIA ANGUSTIAS;5518 
JULIETA;5462 
DOLORS;5443 
TERESA JESUS;5442 
REYES;5414 
DAVINIA;5413 
AMIRA;5395 
SONIA MARIA;5380 
ALFONSA;5339 
BOUCHRA;5295 
SAIDA;5254 
AUREA;5250 
PATROCINIO;5193 
ANASTASIA;5154 
MARIBEL;5126 
OLGA MARIA;5124 
JUSTA;5116 
FELIPA;5104 
SAMARA;5092 
SARAI;5073 
MARIA PIEDAD;5072 
UXIA;5072 
ERICA;5069 
DESAMPARADOS;5040 
GRACIA;5029 
ISIDORA;5025 
MARIA NURIA;5025 
URSULA;5010 
EIDER;4992 
MARIA AZUCENA;4991 
MIHAELA;4986 
LUZ MARINA;4985 
PALMIRA;4981 
LORENZA;4979 
JOSEFA MARIA;4942 
MYRIAM;4942 
MARIA JUANA;4940 
MARIA LAURA;4915 
MINERVA;4888 
OBDULIA;4878 
MARIA RAQUEL;4847 
FRANCESCA;4845 
HAJAR;4840 
CRISTINA MARIA;4830 
JESUSA;4798 
EVANGELINA;4795 
LATIFA;4738 
BRIGIDA;4729 
GLORIA MARIA;4687 
SOUAD;4627 
MARWA;4616 
MARCELA;4586 
NAYRA;4572 
CLOE;4567 
MELANIA;4555 
BIENVENIDA;4544 
JACINTA;4538 
MARIA ELVIRA;4525 
MARIA EVA;4496 
AMAL;4495 
COVADONGA;4473 
SILVIA MARIA;4462 
HAIZEA;4436 
FATIMA ZAHRA;4431 
MIREN;4427 
SARA MARIA;4410 
DIONISIA;4404 
ANGUSTIAS;4403 
SANDRA MARIA;4399 
MARIA CONSOLACION;4396 
CINTIA;4393 
MARIA ALMUDENA;4391 
SARAH;4383 
OLATZ;4378 
MODESTA;4349 
MAITANE;4343 
SABRINA;4327 
GERTRUDIS;4321 
MARIA ALICIA;4308 
ALINA;4306 
MARIA PRADO;4286 
ARLET;4277 
OTILIA;4264 
VICTORIA EUGENIA;4260 
JULIA MARIA;4254 
RUFINA;4251 
GEMA MARIA;4238 
RUT;4235 
SALOME;4229 
CLOTILDE;4224 
XENIA;4222 
IMANE;4198 
IKRAM;4196 
THAIS;4193 
SOCORRO;4182 
PAULA MARIA;4178 
MARIA SALUD;4168 
ARIANA;4167 
MARIA MERCE;4161 
DOMINGA;4150 
