Apellido;Frecuencia apellido 1
CASANOVA;14746
PALOMO;14702
SANCHIS;14675
VELEZ;14667
ANGULO;14607
VENTURA;14577
BELMONTE;14518
OCHOA;14461
NICOLAS;14454
BARBA;14440
LAGO;14375
RECIO;14364
MIRALLES;14320
MADRID;14315
PERALTA;14265
COBOS;14213
WANG;14187
CASTELLANOS;14114
BECERRA;14090
SALA;14043
DUARTE;14036
ESTRADA;14034
CABEZAS;14028
MUÑIZ;14006
HERRANZ;13999
ARRANZ;13943
ALFARO;13869
BELLO;13802
BARREIRO;13801
CUADRADO;13796
NAVARRETE;13787
VERGARA;13777
GRANADOS;13776
LIN;13748
TAPIA;13744
ALCANTARA;13698
VAQUERO;13689
COLL;13672
OCAÑA;13623
CERVERA;13604
VASQUEZ;13568
GODOY;13538
GAMEZ;13499
CORRALES;13466
FAJARDO;13440
PUENTE;13395
ZAMBRANO;13343
MEJIAS;13314
ROSALES;13302
CARVAJAL;13272
TORO;13209
FIGUEROA;13150
FALCON;13091
VALENZUELA;12998
AHMED;12970
BARRAGAN;12969
AMAYA;12963
LATORRE;12945
LOSADA;12942
CAMPO;12873
SEGOVIA;12872
EGEA;12842
PUJOL;12835
PAVON;12823
VALLS;12788
RUANO;12784
HUERTAS;12752
DAVILA;12677
PORTILLO;12648
ARIZA;12628
SASTRE;12617
CATALAN;12584
ROVIRA;12580
ALVARADO;12574
CEREZO;12572
DUQUE;12556
MORILLO;12538
CEBRIAN;12508
FRAILE;12505
BORREGO;12497
ARJONA;12468
DEL VALLE;12413
BARBERO;12383
MORCILLO;12379
VALDES;12317
MOSQUERA;12317
OSORIO;12311
GUIJARRO;12240
MEJIA;12175
AZNAR;12148
PEINADO;12148
ROMERA;12090
FERREIRO;12061
CANOVAS;12051
ALCAIDE;12023
GALVAN;12021
GORDILLO;11984
MELERO;11982
ZHANG;11977
JORGE;11952
TIRADO;11942
ESPEJO;11916
LOBATO;11911
SOLANO;11888
LLAMAS;11842
AGUDO;11834
TEJERO;11778
SOLE;11777
REAL;11769
CHAMORRO;11753
ANDRADE;11688
SAINZ;11671
DORADO;11647
DOS SANTOS;11593
ARAUJO;11559
FRIAS;11542
CRIADO;11519
BRITO;11518
GRANDE;11498
FREIRE;11494
OLMEDO;11491
PIZARRO;11470
GARZON;11462
BARRIO;11437
ROSADO;11435
GONZALO;11430
MOYANO;11427
DE MIGUEL;11380
CHAVEZ;11377
SALCEDO;11367
ROYO;11361
PAEZ;11344
AVILES;11333
SALGUERO;11302
BORJA;11258
SERNA;11231
OROZCO;11228
PANIAGUA;11220
NOGUERA;11194
ALCALA;11171
CALLEJA;11094
SAENZ;11086
ALCAZAR;11081
ARCE;11037
HUERTA;11035
DEL POZO;11019
FERRERO;10975
TENA;10946
ALCALDE;10935
CASTAÑEDA;10913
CHAVES;10910
PLA;10896
PIÑERO;10781
PAZOS;10745
LLORENS;10718
REBOLLO;10688
POVEDA;10650
HERAS;10555
LAFUENTE;10554
PALOMINO;10542
VIVES;10529
PENA;10520
ABELLAN;10496
HERVAS;10486
ACEVEDO;10459
GARCES;10456
BARRANCO;10445
BONET;10437
HARO;10427
VALIENTE;10419
QUIROS;10417
OLMO;10412
BARTOLOME;10364
CABEZA;10338
CEBALLOS;10321
MATEU;10311
CARREÑO;10302
VALLES;10278
LAGUNA;10256
AFONSO;10247
LEIVA;10227
MELLADO;10206
BUSTAMANTE;10206
MIRA;10202
LI;10142
BORRAS;10119
MOLERO;10112
OSUNA;10108
BARCELO;10103
LLOPIS;10098
CALLE;10090
GINER;10090
YAÑEZ;10088
DEL CASTILLO;10065
VILCHEZ;10042
SOUTO;10032
PALOMARES;10011
DEL PINO;9949
BILBAO;9946
MAESTRE;9940
FUERTES;9903
KAUR;9896
SANDOVAL;9862
URBANO;9784
MONTESINOS;9764
OLMOS;9716
CASTELLO;9714
SAN JOSE;9698
MURCIA;9696
ZAFRA;9660
TEJADA;9637
BAEZA;9584
PAREJA;9582
RIBAS;9580
DE LEON;9579
BELLIDO;9574
PUERTAS;9561
FELIPE;9552
VIZCAINO;9540
ORELLANA;9528
SARMIENTO;9514
JAEN;9497
PRATS;9490
PERALES;9470
BAEZ;9445
ENRIQUEZ;9445
ROCHA;9406
VALERA;9388
MINGUEZ;9381
CARRERAS;9369
ZARAGOZA;9350
LEDESMA;9317
ALI;9314
GASCON;9297
MONTORO;9267
YE;9257
GIRALDO;9252
PATIÑO;9243
DE CASTRO;9240
BUSTOS;9239
CAMPILLO;9225
LUENGO;9220
ALEGRE;9217
ARCOS;9214
SEBASTIAN;9186
XU;9178
CAÑAS;9166
GAGO;9161
JARAMILLO;9144
PERIS;9139
MONGE;9128
JARA;9097
BAÑOS;9066
TELLO;9063
ARTEAGA;9055
BATISTA;9039
MOREIRA;9017
CASAL;9013
ESPINOZA;8962
FUSTER;8940
MONTIEL;8936
JEREZ;8931
MACHADO;8911
MAYA;8900
LIU;8888
SOBRINO;8881
ARMAS;8870
CAZORLA;8869
VILAR;8862
DIALLO;8845
PERDOMO;8843
SALMERON;8825
NADAL;8824
ZABALA;8802
BEJARANO;8788
LOBO;8785
TEJEDOR;8772
SANJUAN;8772
SEOANE;8761
PADRON;8728
CONESA;8705
TAMAYO;8703
ALEMAN;8664
PALLARES;8600
CANALES;8585
BAREA;8569
FERRE;8550
VERDU;8538
MORON;8538
JORDAN;8522
BARRERO;8513
ALMEIDA;8506
PRADA;8506
WU;8506
MAYOR;8440
MARI;8429
RIPOLL;8426
VEIGA;8419
TABOADA;8413
DEL CAMPO;8407
PRADOS;8404
TORTOSA;8400
MORO;8389
CLIMENT;8376
MANRIQUE;8376
SAN MARTIN;8375
INFANTE;8369
CATALA;8365
FERRANDO;8357
PEÑALVER;8333
AYUSO;8324
FRAGA;8295
ABRIL;8277
AMOROS;8223
BARROS;8207
ALVES;8182
MONTAÑO;8171
MOTA;8168
DIEGUEZ;8167
CIFUENTES;8145
GALERA;8142
MEDRANO;8115
LUCENA;8072
ALVARO;8067
NOGALES;8058
MANSO;8048
YUSTE;8031
PINILLA;8025
MAROTO;8007
CERDA;8003
ECHEVERRIA;7970
ALBERT;7937
PEDROSA;7921
BOLAÑOS;7919
IBARRA;7914
BERENGUER;7902
TOVAR;7880
DUEÑAS;7876
VILLENA;7863
MONTILLA;7852
ATIENZA;7847
ZHOU;7836
SAMPEDRO;7826
QUEVEDO;7815
MANZANARES;7809
VILLAVERDE;7809
MIGUEZ;7808
DEL OLMO;7800
RIBERA;7775
VELASQUEZ;7764
UBEDA;7758
VIVAS;7750
RAYA;7735
SEVILLANO;7732
MERCHAN;7721
GUEVARA;7717
MELENDEZ;7708
RODRIGUES;7701
ORTUÑO;7697
ESPAÑA;7696
MIRO;7687
